var,name,hemi,cog,cog2,sys,region_ggseg,region,python-ggseg
sflh,Superior Frontal Gyrus,left,executive function,social,executive function,superior frontal gyrus,superior frontal,
sfrh,Superior Frontal Gyrus,right,executive function,social,executive function,superior frontal gyrus,superior frontal,
suflh,Superior Frontal Gyrus,left,executive function,social,executive function,superior frontal gyrus,superior frontal,
sufrh,Superior Frontal Gyrus,right,executive function,social,executive function,superior frontal gyrus,superior frontal,
sufrlh,Superior Frontal Gyrus,left,executive function,social,executive function,superior frontal gyrus,superior frontal,
sufrrh,Superior Frontal Gyrus,right,executive function,social,executive function,superior frontal gyrus,superior frontal,
slflh,Superior Longitudinal Fasiculus,left,language,attention,language,superior longitudinal fasiculus,superior longitudinal fasiculus,Superior longitudinal fasciculus L
slfrh,Superior Longitudinal Fasiculus,right,language,attention,language,superior longitudinal fasiculus,superior longitudinal fasiculus,Superior longitudinal fasciculus R
pslflh,Superior Longitudinal Fasiculus- Parietal,left,executive function,attention,attention,superior longitudinal fasiculus- parietal,superior longitudinal fasiculus- parietal,
pslfrh,Superior Longitudinal Fasiculus- Parietal,right,executive function,attention,attention,superior longitudinal fasiculus- parietal,superior longitudinal fasiculus- parietal,
tslflh,Superior Longitudinal Fasiculus- Temporal,left,language,,language,superior longitudinal fasiculus- temporal,superior longitudinal fasiculus- temporal,Superior longitudinal fasciculus (temporal part) L
tslfrh,Superior Longitudinal Fasiculus- Temporal,right,language,,language,superior longitudinal fasiculus- temporal,superior longitudinal fasiculus- temporal,Superior longitudinal fasciculus (temporal part) R
spetallh,Superior Parietal Lobule,left,visual processing,spatial,sensory/motor,superior parietal lobule,superior parietal,
spetalrh,Superior Parietal Lobule,right,visual processing,spatial,sensory/motor,superior parietal lobule,superior parietal,
splh,Superior Parietal Lobule,left,visual processing,spatial,sensory/motor,superior parietal lobule,superior parietal,
sprh,Superior Parietal Lobule,right,visual processing,spatial,sensory/motor,superior parietal lobule,superior parietal,
supllh,Superior Parietal Lobule,left,visual processing,spatial,sensory/motor,superior parietal lobule,superior parietal,
suplrh,Superior Parietal Lobule,right,visual processing,spatial,sensory/motor,superior parietal lobule,superior parietal,
sutlh,Superior Temporal Gyrus,left,sensory,language,language,superior temporal gyrus,superior temporal,
sutmlh,Superior Temporal Gyrus,left,sensory,language,language,superior temporal gyrus,superior temporal,
sutmrh,Superior Temporal Gyrus,right,sensory,language,language,superior temporal gyrus,superior temporal,
sutrh,Superior Temporal Gyrus,right,sensory,language,language,superior temporal gyrus,superior temporal,
stlh,Superior Temporal Lobule,left,sensory,language,language,superior temporal lobule,superior temporal lobule,
strh,Superior Temporal Lobule,right,sensory,language,language,superior temporal lobule,superior temporal lobule,
smlh,Supramarginal Gyrus,left,language,,triple network,supramarginal gyrus,supramarginal,
smrh,Supramarginal Gyrus,right,language,,triple network,supramarginal gyrus,supramarginal,
tmpolelh,Temporal Pole,left,language,memory,language,temporal pole,temporal pole,
tmpolerh,Temporal Pole,right,language,memory,language,temporal pole,temporal pole,
tpolelh,Temporal Pole,left,language,memory,language,temporal pole,temporal pole,
tpolerh,Temporal Pole,right,language,memory,language,temporal pole,temporal pole,
thplh,Thalamus,left,sensorimotor,memory,limbic,thalamus,thalamus proper,
thprh,Thalamus,right,sensorimotor,memory,limbic,thalamus,thalamus proper,
tplh,Thalamus,left,sensorimotor,memory,limbic,thalamus,thalamus proper,
tprh,Thalamus,right,sensorimotor,memory,limbic,thalamus,thalamus proper,
trvtmlh,Transverse Temporal Gyrus,left,sensory,error processing,sensory/motor,transverse temporal gyrus,transverse temporal,
trvtmrh,Transverse Temporal Gyrus,right,sensory,error processing,sensory/motor,transverse temporal gyrus,transverse temporal,
ttlh,Transverse Temporal Gyrus,left,sensory,error processing,sensory/motor,transverse temporal gyrus,transverse temporal,
ttrh,Transverse Temporal Gyrus,right,sensory,error processing,sensory/motor,transverse temporal gyrus,transverse temporal,
tvtlh,Transverse Temporal Gyrus,left,sensory,error processing,sensory/motor,transverse temporal gyrus,transverse temporal,
tvtrh,Transverse Temporal Gyrus,right,sensory,error processing,sensory/motor,transverse temporal gyrus,transverse temporal,
unclh,Uncinate Fasiculus,left,visual processing,social,,uncinate fasiculus,uncinate fasiculus,Uncinate fasciculus L
uncrh,Uncinate Fasiculus,right,visual processing,social,,uncinate fasiculus,uncinate fasiculus,Uncinate fasciculus R
vta,Ventral Attention Network,NA,attention,,attention,ventral attention network,ventral attention network,
vdclh,Ventral Diencephalon,left,sensorimotor,,sensory/motor,ventral diencephalon,ventral DC,
vdcrh,Ventral Diencephalon,right,sensorimotor,,sensory/motor,ventral diencephalon,ventral DC,
vedclh,Ventral Diencephalon,left,sensorimotor,,sensory/motor,ventral diencephalon,ventral DC,
vedcrh,Ventral Diencephalon,right,sensorimotor,,sensory/motor,ventral diencephalon,ventral DC,
ventraldclh,Ventral Diencephalon,left,sensorimotor,,sensory/motor,ventral diencephalon,ventral DC,
ventraldcrh,Ventral Diencephalon,right,sensorimotor,,sensory/motor,ventral diencephalon,ventral DC,
vtdclh,Ventral Diencephalon,left,sensorimotor,,sensory/motor,ventral diencephalon,ventral DC,
vtdcrh,Ventral Diencephalon,right,sensorimotor,,sensory/motor,ventral diencephalon,ventral DC,
vs,Visual Network,NA,sensory,,sensory/motor,visual network,visual network,
lvlh,Lateral Ventricle,left,NA,NA,NA,lateral ventricle,lateral ventricle,
