var,name,hemi,cog,cog2,sys,region_ggseg,region,python-ggseg
islh,Insula,left,interoception,attention,triple network,insula,insula,
isrh,Insula,right,interoception,attention,triple network,insula,insula,
intracranialv,Intracranial Volume,NA,,,,intracranial volume,intracranial volume,
lvrh,Lateral Ventricle,right,,,,lateral ventricle,lateral ventricle,
ilvlh,Lateral Ventricle- Inferior ,left,,,,lateral ventricle- inferior ,lateral ventricle- inferior ,
ilvrh,Lateral Ventricle- Inferior ,right,,,,lateral ventricle- inferior ,lateral ventricle- inferior ,
lglh,Lingual Gyrus,left,visual processing,language,language,lingual gyrus,lingual,
lgrh,Lingual Gyrus,right,visual processing,language,language,lingual gyrus,lingual,
linguallh,Lingual Gyrus,left,visual processing,language,language,lingual gyrus,lingual,
lingualrh,Lingual Gyrus,right,visual processing,language,language,lingual gyrus,lingual,
cdmdflh,Middle Frontal Gyrus- Caudal,left,visual processing,attention,triple network,middle frontal gyrus- caudal,caudal middle frontal,
cdmdfrh,Middle Frontal Gyrus- Caudal,right,visual processing,attention,triple network,middle frontal gyrus- caudal,caudal middle frontal,
cdmdfrlh,Middle Frontal Gyrus- Caudal,left,visual processing,attention,triple network,middle frontal gyrus- caudal,caudal middle frontal,
